"lam","trA","V_gcv","V_loo"
1e-06,31.609083481659,0.114020514509509,0.115353249534491
1.23284673944207e-06,30.3005982126925,0.112628921111454,0.114103938807024
1.51991108295293e-06,29.0312806887333,0.111427140641289,0.112922601906967
1.87381742286038e-06,27.8019956523392,0.110382026341357,0.111802342744592
2.31012970008316e-06,26.6134181036006,0.10946037852338,0.110735735486116
2.8480358684358e-06,25.4659832118938,0.108632057273163,0.109716611237371
3.51119173421513e-06,24.3598786955349,0.10787248316115,0.108741551761016
4.32876128108306e-06,23.2950695030239,0.107164119931969,0.107810643716463
5.33669923120631e-06,22.2713369029073,0.106496735445924,0.106927279820685
6.57933224657568e-06,21.2883137059342,0.105866478501638,0.106097077991044
8.11130830789687e-06,20.3455034770498,0.105274034881048,0.105326226912136
1e-05,19.4422810599962,0.104722291809471,0.104619694050715
1.23284673944207e-05,18.5778805889944,0.104214014295252,0.103979732435468
1.51991108295293e-05,17.7513822869946,0.103749999598561,0.103405010976848
1.87381742286038e-05,16.9617094092261,0.103328028718153,0.102890507278751
2.31012970008316e-05,16.2076422984139,0.102942712282309,0.102428096699352
2.8480358684358e-05,15.4878498074608,0.102586101153452,0.102007609273829
3.51119173421513e-05,14.8009321067517,0.102248773681999,0.101618055206607
4.32876128108306e-05,14.1454655158305,0.101921065108294,0.101248751004253
5.33669923120631e-05,13.5200405565025,0.101594162468674,0.100890180352794
6.57933224657568e-05,12.9232882656263,0.101260902754836,0.100534541034932
8.11130830789687e-05,12.3538948737979,0.100916226071739,0.100176012693687
1e-04,11.8106087595784,0.100557311821579,0.0998108104788841
0.000123284673944207,11.2922444310727,0.100183457873667,0.0994370788801821
0.000151991108295293,10.7976861468772,0.0997957664634678,0.0990546574583488
0.000187381742286038,10.3258903171124,0.0993966977888308,0.0986647405724213
0.000231012970008316,9.87588337415451,0.0989895550189461,0.0982694634780646
0.00028480358684358,9.44675201036693,0.098577970859956,0.0978714666890757
0.000351119173421513,9.03762550754515,0.0981654661719478,0.0974735022175317
0.000432876128108306,8.64765370432419,0.0977551375300403,0.0970781384218245
0.000533669923120631,8.27598680570562,0.0973495032763151,0.0966875958792507
0.000657933224657568,7.92176331636007,0.0969505042799217,0.0963037151769075
0.000811130830789687,7.5841098808584,0.0965596266154696,0.0959280306230616
0.001,7.26215295443258,0.0961780965262605,0.0955619092067624
0.00123284673944207,6.95503866029993,0.0958070965278237,0.0952067135565726
0.00151991108295293,6.66195519547663,0.0954479640573706,0.0948639589325094
0.00187381742286039,6.38215218055027,0.0951023560837743,0.0945354530090963
0.00231012970008316,6.11495300855883,0.0947723879922188,0.0942234280121704
0.0028480358684358,5.85975863787117,0.0944607761912008,0.0939306924671591
0.00351119173421513,5.61604346748395,0.0941710267517854,0.0936608408621698
0.00432876128108306,5.38334533719853,0.0939077163068811,0.0934185633612941
0.00533669923120631,5.16125220935033,0.0936769095989159,0.0932100968799742
0.00657933224657568,4.94938801495927,0.0934867555964145,0.0930438575635386
0.00811130830789687,4.74739990501923,0.093348304942415,0.0929312961779305
0.01,4.55494881212397,0.0932765959798518,0.0928880222630096
0.0123284673944207,4.37170441395278,0.0932920605810894,0.0929352462472997
0.0151991108295293,4.19734392791073,0.0934222953885812,0.0931015822253514
0.0187381742286038,4.03155207869691,0.0937042121926254,0.0934252206378249
0.0231012970008316,3.87401851219744,0.0941864955446801,0.093956390864765
0.028480358684358,3.72443029808476,0.0949321215784517,0.0947598529732942
0.0351119173421513,3.58246110368668,0.0960204054653044,0.0959168626493606
0.0432876128108306,3.44776315328422,0.0975476689326075,0.0975256715135848
0.0533669923120631,3.3199703010998,0.0996252608519042,0.099699271671409
0.0657933224657568,3.19871831308485,0.10237353251335,0.102558986252251
0.0811130830789687,3.08368206399295,0.105910733828114,0.106222918275479
0.1,2.9746214250604,0.110336868481326,0.110789399484837
0.123284673944207,2.87142175429803,0.115714283326156,0.11631736142596
0.151991108295293,2.77411404667548,0.122048705921564,0.122807484435906
0.187381742286038,2.68286467279227,0.129275719913472,0.130189179750025
0.231012970008316,2.59793366057049,0.137257368681424,0.138318027335673
0.28480358684358,2.51961018421395,0.145791346354089,0.146985927050493
0.351119173421513,2.44814056588271,0.154631695170753,0.155942618580074
0.432876128108306,2.38366536243438,0.163516523428239,0.164923869038385
0.533669923120631,2.32617800496069,0.172196462447645,0.173679964873479
0.657933224657568,2.27551026064272,0.180458035244976,0.181998746761359
0.811130830789687,2.23134259751166,0.188138328347544,0.189719739300337
1,2.19323248413897,0.19513017940304,0.196738762390314
1.23284673944207,2.16065199560728,0.201379377712876,0.203004649669015
1.51991108295293,2.13302681301574,0.206876574233957,0.208510829643506
1.87381742286038,2.10977093138137,0.211646716887296,0.213284586606729
2.31012970008316,2.09031420916146,0.215738271081428,0.21737622898346
2.8480358684358,2.07412181728979,0.2192136680615,0.220849564865532
3.51119173421513,2.06070613810416,0.222141666731163,0.223774332091028
4.32876128108306,2.04963259982071,0.224591759990584,0.226220686505615
5.33669923120631,2.04052079159916,0.22663042672265,0.228255532395662
6.57933224657568,2.03304259677499,0.228318880812066,0.229940338807504
8.11130830789687,2.02691826658135,0.229711940728708,0.231330062337602
10,2.02191151768457,0.230857680800741,0.232472838314528
12.3284673944207,2.0178244218863,0.231797588892502,0.233410167621805
15.1991108295293,2.01449182715924,0.23256702238441,0.234177391355651
18.7381742286039,2.01177725586673,0.233195821596502,0.234804319219686
23.1012970008316,2.00956767869492,0.233708971808335,0.235315898494495
28.480358684358,2.00777044458074,0.234127266815728,0.235732884149431
35.1119173421513,2.00630919037392,0.234467923410788,0.236072455294573
43.2876128108306,2.00512200184563,0.2347451446067,0.23634878070015
53.3669923120631,2.00415742783346,0.234970602675186,0.236573501986831
65.7933224657568,2.00337420823907,0.235153872845415,0.236756168007383
81.1130830789687,2.00273820506803,0.235302788329407,0.236904588223795
100,2.00222206516456,0.235423749976193,0.237025146713383
123.284673944207,2.00180290880029,0.235521977618641,0.237123043858632
151.991108295293,2.00146259801754,0.235601726703333,0.237202523501493
187.381742286039,2.00118658176985,0.235666463220994,0.237267041756747
231.012970008316,2.0009626432104,0.23571900534148,0.237319406031516
284.80358684358,2.00078165325019,0.235761648458893,0.23736190762697
